Device Information
******************************
Device Type:	   TZ-TempU04
Firmware Ver:   3.05
ID:   TZ0424080211
Start Delay:   30 min
Log Interval:   1800 sec
Description:      Temperature Recorder
Note:
All times shown are based on UTC+03:00 and 24-Hour clock [MM/dd/yyyy HH:mm:ss]

Logging Summary
******************************
First Point: 	10/26/2024 01:05:17
Stop Time:      10/26/2024 22:05:17
Number of Points:      43
Trip Length:      21h 0m 0s 
Start Mode:      Button Start
Stop Mode:      Manual Stop
Max:        27.5C/--%RH
Min:        10.2C/--%RH
Average:        16.7C/--%RH
MKT:18.9C

Marked Events
******************************
1.10/26/2024 22:05:17 15.4C --%RH
Alarm Condition    	 ,Alarm Delay    	 ,Alarm Type    	 ,First Point Time        	 ,Time of Violations        	 ,No. of Violations        	 ,Status
******************************,******************************,******************************,******************************,******************************
Over 30.0C,00:10:00,--,00/00/00 00:00:00,00:00:00,0,OK
Below -25.0C,00:10:00,--,00/00/00 00:00:00,00:00:00,0,OK





Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
10/26/2024,01:05:17, 27.5,--
10/26/2024,01:35:17, 26.2,--
10/26/2024,02:05:17, 25.3,--
10/26/2024,02:35:17, 24.8,--
10/26/2024,03:05:17, 24.6,--
10/26/2024,03:35:17, 24.4,--
10/26/2024,04:05:17, 24.2,--
10/26/2024,04:35:17, 24.1,--
10/26/2024,05:05:17, 24.0,--
10/26/2024,05:35:17, 24.0,--
10/26/2024,06:05:17, 23.9,--
10/26/2024,06:35:17, 23.8,--
10/26/2024,07:05:17, 23.8,--
10/26/2024,07:35:17, 23.7,--
10/26/2024,08:05:17, 23.8,--
10/26/2024,08:35:17, 21.6,--
10/26/2024,09:05:17, 17.7,--
10/26/2024,09:35:17, 17.2,--
10/26/2024,10:05:17, 17.3,--
10/26/2024,10:35:17, 16.9,--
10/26/2024,11:05:17, 14.2,--
10/26/2024,11:35:17, 13.7,--
10/26/2024,12:05:17, 13.1,--
10/26/2024,12:35:17, 12.5,--
10/26/2024,13:05:17, 12.2,--
10/26/2024,13:35:17, 11.9,--
10/26/2024,14:05:17, 11.6,--
10/26/2024,14:35:17, 11.3,--
10/26/2024,15:05:17, 11.0,--
10/26/2024,15:35:17, 10.8,--
10/26/2024,16:05:17, 10.6,--
10/26/2024,16:35:17, 10.4,--
10/26/2024,17:05:17, 10.3,--
10/26/2024,17:35:17, 10.2,--
10/26/2024,18:05:17, 10.2,--
10/26/2024,18:35:17, 10.2,--
10/26/2024,19:05:17, 10.2,--
10/26/2024,19:35:17, 10.2,--
10/26/2024,20:05:17, 10.2,--
10/26/2024,20:35:17, 10.3,--
10/26/2024,21:05:17, 10.4,--
10/26/2024,21:35:17, 11.3,--
10/26/2024,22:05:17, 15.4,--

