Device Information
******************************
Device Type:    TZ-TempU03
Firmware Ver:   4.06
ID:             TZ0324074843
Start Delay:    30 min
Log Interval:   30 min
Description:    Temperature and Humidity Recorder
Note:
All times shown are based on UTC+0:03 and 24-Hour clock[MM/DD/YY HH:MM:SS]

Logging Summary
******************************
First Point:   11/27/24 20:16:17
Stop Time:     11/30/24 21:46:17
Number of Points:   148
Trip Length:   03d 01h 30m 00s
Start Mode:    Button Start
Stop Mode:     USB Stop
Max:    28.8C(Temp)/39.4%RH(Humidity)
Min:    26.4C(Temp)/27.7%RH(Humidity)
Average:27.3C(Temp)/33.9%RH(Humidity)
MKT:    27.3C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
Over 40.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below -20.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Over 90.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below 20.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
11/27/2024, 20:16:17, 28.1,36.8
11/27/2024, 20:46:17, 27.9,36.2
11/27/2024, 21:16:17, 27.9,35.2
11/27/2024, 21:46:17, 27.5,35.0
11/27/2024, 22:16:17, 27.2,34.6
11/27/2024, 22:46:17, 26.9,34.4
11/27/2024, 23:16:17, 26.8,34.3
11/27/2024, 23:46:17, 26.7,34.2
11/28/2024, 00:16:17, 26.6,34.0
11/28/2024, 00:46:17, 26.5,34.0
11/28/2024, 01:16:17, 26.5,33.8
11/28/2024, 01:46:17, 26.5,33.8
11/28/2024, 02:16:17, 26.4,33.6
11/28/2024, 02:46:17, 26.4,33.5
11/28/2024, 03:16:17, 26.4,33.4
11/28/2024, 03:46:17, 26.4,33.7
11/28/2024, 04:16:17, 26.5,35.2
11/28/2024, 04:46:17, 26.9,35.3
11/28/2024, 05:16:17, 27.1,36.7
11/28/2024, 05:46:17, 27.0,35.0
11/28/2024, 06:16:17, 27.0,34.4
11/28/2024, 06:46:17, 27.1,38.4
11/28/2024, 07:16:17, 27.2,37.5
11/28/2024, 07:46:17, 27.2,36.3
11/28/2024, 08:16:17, 27.2,35.5
11/28/2024, 08:46:17, 27.1,34.1
11/28/2024, 09:16:17, 27.2,33.1
11/28/2024, 09:46:17, 27.1,32.3
11/28/2024, 10:16:17, 27.1,32.8
11/28/2024, 10:46:17, 27.2,32.7
11/28/2024, 11:16:17, 27.2,32.5
